Site,Year,ppt,tmin,tmean,tmax,dew,vpdmin,vpdmax
Kearney Broadfoot South,2010,25.37,38.6,50.2,61.9,39.6,0.85,12.95
Kearney Broadfoot South,2011,32.43,37.2,49.3,61.4,37.3,1.2,13.38
Kearney Broadfoot South,2012,14.3,39.1,53.2,67.2,38.4,1.39,18.31
Kearney Broadfoot South,2013,23.49,37.4,49.6,61.7,38,0.98,14.17
Kearney Broadfoot South,2014,25.14,36.6,49,61.4,36.9,1.05,13.53
Kearney Broadfoot South,2015,24.34,39.7,51.9,64.1,39.5,1.22,14.3
Kearney Broadfoot South,2016,22.53,40.6,52.9,65.1,40.3,1.25,14.95
Kearney Broadfoot South,2017,27.99,39.7,51.9,64.1,39.3,1.19,14.77
Kearney Broadfoot South,2018,30.24,37.9,49.1,60.2,39.8,0.74,11.85
Kearney Broadfoot South,2019,38.17,38.6,49.1,59.6,39.5,0.83,11.16
Kearney Broadfoot South,2020,20.56,38.9,51,63.2,39.3,1.04,14.14
Kearney Broadfoot South,2021,28.31,39.8,51.4,63,40.1,1.05,13.44
Kearney Broadfoot South,2022,17.9,36.9,50.3,63.7,35.5,1.26,15.85
Kearney Broadfoot South,2023,23.85,38.8,50.7,62.7,39.9,0.86,13.27
Kearney Broadfoot South,2024,26.4,40.1,52.2,64.3,40.3,0.96,14.12
Kearney Broadfoot South,2025,22.2,39.2,51.4,63.7,40,0.88,13.74
Newark East,2010,27.49,38.7,50.2,61.7,39.6,0.88,12.9
Newark East,2011,29.9,37.5,49.4,61.3,37.1,1.33,13.44
Newark East,2012,13.88,39.5,53.3,67.2,38.4,1.45,18.28
Newark East,2013,25.55,37.6,49.6,61.6,38,1.02,14.05
Newark East,2014,25.62,36.9,49.1,61.4,36.9,1.11,13.51
Newark East,2015,29.23,39.9,52,64.1,39.4,1.3,14.28
Newark East,2016,23.14,40.8,53,65.1,40.4,1.32,14.97
Newark East,2017,27.56,39.9,52,64,39.3,1.26,14.68
Newark East,2018,31.47,38.2,49.2,60.1,39.8,0.8,11.82
Newark East,2019,36.01,38.9,49.3,59.6,39.5,0.91,11.11
Newark East,2020,18.22,39.2,51.1,63,39.3,1.12,14.06
Newark East,2021,27.06,40.1,51.5,62.9,40.2,1.11,13.31
Newark East,2022,19.45,37.2,50.5,63.7,35.7,1.31,15.74
