Site,Year,exterior_fence,entry_fence,interior_fence,lights
Cottonwood Ranch,2010,0,0,0,0
Cottonwood Ranch,2011,0,1,0,0
Cottonwood Ranch,2012,0,1,0,0
Cottonwood Ranch,2013,0,1,0,0
Cottonwood Ranch,2014,0,1,0,0
Cottonwood Ranch,2015,0,1,0,0
Cottonwood Ranch,2016,0,1,0,0
Cottonwood Ranch,2017,0,1,0,0
Cottonwood Ranch,2018,0,1,0,0
Cottonwood Ranch,2019,0,1,0,0
Cottonwood Ranch,2020,0,1,0,0
Cottonwood Ranch,2021,0,1,0,0
Cottonwood Ranch,2022,0,1,0,0
Cottonwood Ranch,2023,0,1,0,0
Cottonwood Ranch,2024,0,1,0,0
Cottonwood Ranch,2025,0,1,0,0
Dyer,2010,0,0,0,0
Dyer,2011,0,1,0,0
Dyer,2012,0,1,0,0
Dyer,2013,0,1,0,0
Dyer,2014,0,1,0,0
Dyer,2015,0,1,0,0
Dyer,2016,0,1,0,0
Dyer,2017,0,1,0,0
Dyer,2018,0,1,0,0
Dyer,2019,0,1,0,0
Dyer,2020,0,1,0,0
Dyer,2021,0,1,0,0
Dyer,2022,0,1,0,0
Dyer,2023,0,1,0,0
Dyer,2024,0,1,0,0
Dyer,2025,0,1,0,0
Kearney Broadfoot South,2010,0,0,0,0
Kearney Broadfoot South,2011,0,1,0,0
Kearney Broadfoot South,2012,0,1,0,0
Kearney Broadfoot South,2013,0,1,0,0
Kearney Broadfoot South,2014,0,1,0,0
Kearney Broadfoot South,2015,0,1,0,0
Kearney Broadfoot South,2016,0,1,0,0
Kearney Broadfoot South,2017,0,1,0,0
Kearney Broadfoot South,2018,0,1,0,0
Kearney Broadfoot South,2019,0,1,0,0
Kearney Broadfoot South,2020,0,1,1,0
Kearney Broadfoot South,2021,0,1,1,1
Kearney Broadfoot South,2022,0,1,1,1
Kearney Broadfoot South,2023,0,1,1,1
Kearney Broadfoot South,2024,0,1,1,1
Kearney Broadfoot South,2025,0,1,1,1
Leaman,2010,0,0,0,0
Leaman,2011,0,0,0,0
Leaman,2012,0,1,0,0
Leaman,2013,0,1,0,0
Leaman,2014,0,1,0,0
Leaman,2015,0,1,0,0
Leaman,2016,0,1,0,0
Leaman,2017,0,1,0,0
Leaman,2018,0,1,0,0
Leaman,2019,0,1,0,0
Leaman,2020,0,1,0,0
Leaman,2021,0,1,0,1
Leaman,2022,0,1,0,1
Leaman,2023,0,1,0,1
Leaman,2024,0,1,0,1
Leaman,2025,0,1,0,1
OSG Lexington,2010,0,0,0,0
OSG Lexington,2011,0,0,0,0
OSG Lexington,2012,0,0,0,0
OSG Lexington,2013,0,0,0,0
OSG Lexington,2014,0,0,0,0
OSG Lexington,2015,0,0,0,0
OSG Lexington,2016,0,0,0,0
OSG Lexington,2017,0,0,0,0
OSG Lexington,2018,0,0,0,0
