"Nest","Species","Site","Year","technique","Visit.Date","julian_day","exposure","exterior_fence","entry_fence","interior_fence","lights","s","p","a","w","f","u","ppt","tmin","tmean","tmax","dew","vpdmin","vpdmax"
"101PP-10","PIPL","NPPD Lexington",2010,"outside",2010-05-24,144,0,0,0,0,0,0,0,0,0,0,0,23.32,38.2,50.3,62.3,40.1,0.73,13.13
"101PP-10","PIPL","NPPD Lexington",2010,"outside",2010-05-25,145,1,0,0,0,0,0,0,0,0,0,0,23.32,38.2,50.3,62.3,40.1,0.73,13.13
"101PP-10","PIPL","NPPD Lexington",2010,"outside",2010-05-27,147,2,0,0,0,0,0,0,0,0,0,0,23.32,38.2,50.3,62.3,40.1,0.73,13.13
"101PP-10","PIPL","NPPD Lexington",2010,"outside",2010-05-31,151,4,0,0,0,0,0,0,0,0,0,0,23.32,38.2,50.3,62.3,40.1,0.73,13.13
"101PP-10","PIPL","NPPD Lexington",2010,"outside",2010-06-02,153,2,0,0,0,0,0,0,0,0,0,0,23.32,38.2,50.3,62.3,40.1,0.73,13.13
"101PP-10","PIPL","NPPD Lexington",2010,"outside",2010-06-04,155,2,0,0,0,0,0,0,0,0,0,0,23.32,38.2,50.3,62.3,40.1,0.73,13.13
"101PP-10","PIPL","NPPD Lexington",2010,"outside",2010-06-07,158,3,0,0,0,0,0,0,0,0,0,0,23.32,38.2,50.3,62.3,40.1,0.73,13.13
"101PP-10","PIPL","NPPD Lexington",2010,"outside",2010-06-09,160,2,0,0,0,0,0,0,0,0,0,0,23.32,38.2,50.3,62.3,40.1,0.73,13.13
"101PP-10","PIPL","NPPD Lexington",2010,"outside",2010-06-15,166,6,0,0,0,0,0,0,0,0,0,0,23.32,38.2,50.3,62.3,40.1,0.73,13.13
"101PP-10","PIPL","NPPD Lexington",2010,"outside",2010-06-17,168,2,0,0,0,0,0,0,0,0,0,0,23.32,38.2,50.3,62.3,40.1,0.73,13.13
"101PP-10","PIPL","NPPD Lexington",2010,"outside",2010-06-19,170,2,0,0,0,0,0,0,0,0,0,0,23.32,38.2,50.3,62.3,40.1,0.73,13.13
"101PP-10","PIPL","NPPD Lexington",2010,"outside",2010-06-21,172,2,0,0,0,0,1,0,0,0,0,0,23.32,38.2,50.3,62.3,40.1,0.73,13.13
"102PP-10","PIPL","NPPD Lexington",2010,"outside",2010-05-31,151,0,0,0,0,0,0,0,0,0,0,0,23.32,38.2,50.3,62.3,40.1,0.73,13.13
