"Nest","Species","Site","technique","first_date","last_date","julian_day","exposure","max_chicks","proportion","prop_flag","exterior_fence","entry_fence","interior_fence","lights"
"101PP-10","PIPL","NPPD Lexington","outside",2010-05-11,2010-06-21,131,41,4,1,"Good",0,0,0,0
"102PP-10","PIPL","NPPD Lexington","outside",2010-05-11,2010-06-29,131,49,3,1,"Good",0,0,0,0
"104LT-10","LETE","NPPD Lexington","outside",2010-05-31,2010-07-12,151,42,3,0.666666666666667,"Good",0,0,0,0
"105LT-10","LETE","NPPD Lexington","outside",2010-05-31,2010-07-09,151,39,3,0.666666666666667,"Good",0,0,0,0
"106LT-10","LETE","NPPD Lexington","outside",2010-05-28,2010-07-09,148,42,3,0.666666666666667,"Good",0,0,0,0
"107LT-10","LETE","NPPD Lexington","outside",2010-06-04,2010-07-03,155,29,0,0,"Good",0,0,0,0
"108LT-10","LETE","NPPD Lexington","outside",2010-06-04,2010-08-03,155,60,3,1,"Good",0,0,0,0
"109LT-10","LETE","NPPD Lexington","outside",2010-06-04,2010-07-17,155,43,3,1,"Good",0,0,0,0
"110LT-10","LETE","NPPD Lexington","outside",2010-06-03,2010-07-17,154,44,3,0.666666666666667,"Good",0,0,0,0
"112PP-10","PIPL","NPPD Lexington","outside",2010-06-07,2010-08-02,158,56,2,0.5,"Good",0,0,0,0
"113LT-10","LETE","NPPD Lexington","outside",2010-06-07,2010-07-17,158,40,3,1,"Good",0,0,0,0
"114LT-10","LETE","NPPD Lexington","outside",2010-06-07,2010-07-10,158,33,2,0,"Good",0,0,0,0
"115LT-10","LETE","NPPD Lexington","outside",2010-06-07,2010-07-17,158,40,2,1,"Good",0,0,0,0
"117LT-10","LETE","NPPD Lexington","outside",2010-06-09,2010-07-10,160,31,0,0,"Good",0,0,0,0
"118PP-10","PIPL","NPPD Lexington","outside",2010-06-09,2010-07-30,160,51,3,0.666666666666667,"Good",0,0,0,0
"120LT-10","LETE","NPPD Lexington","outside",2010-06-09,2010-07-17,160,38,3,0,"Good",0,0,0,0
"121LT-10","LETE","NPPD Lexington","outside",2010-06-17,2010-08-03,168,47,3,0.666666666666667,"Good",0,0,0,0
"122LT-10","LETE","NPPD Lexington","outside",2010-06-21,2010-07-30,172,39,2,1,"Good",0,0,0,0
"123LT-10","LETE","NPPD Lexington","outside",2010-06-22,2010-08-06,173,45,2,1,"Good",0,0,0,0
"125LT-10","LETE","NPPD Lexington","outside",2010-07-02,2010-08-09,183,38,2,1,"Good",0,0,0,0
"126LT-10","LETE","NPPD Lexington","outside",2010-07-03,2010-08-12,184,40,2,1,"Good",0,0,0,0
"130-11","PIPL","NPPD Lexington","outside",2011-05-06,2011-07-05,126,60,4,0.25,"Good",0,0,0,0
"131-11","PIPL","NPPD Lexington","outside",2011-05-10,2011-07-05,130,56,3,0.666666666666667,"Good",0,0,0,0
"132-11","PIPL","NPPD Lexington","outside",2011-05-24,2011-07-11,144,48,2,0,"Good",0,0,0,0
"133-11","PIPL","NPPD Lexington","outside",2011-05-19,2011-07-11,139,53,4,0,"Good",0,0,0,0
"135-11","LETE","NPPD Lexington","outside",2011-06-06,2011-07-21,157,45,3,1,"Good",0,0,0,0
"136-11","PIPL","NPPD Lexington","outside",2011-06-06,2011-07-25,157,49,1,0,"Good",0,0,0,0
"137-11","LETE","NPPD Lexington","outside",2011-06-10,2011-07-25,161,45,3,0.666666666666667,"Good",0,0,0,0
"138-11","LETE","NPPD Lexington","outside",2011-06-10,2011-07-21,161,41,2,0.5,"Good",0,0,0,0
"141-11","LETE","NPPD Lexington","outside",2011-06-16,2011-08-01,167,46,2,0.5,"Good",0,0,0,0
"142-11","LETE","NPPD Lexington","outside",2011-06-17,2011-08-04,168,48,2,1,"Good",0,0,0,0
"143-11","LETE","NPPD Lexington","outside",2011-06-22,2011-08-08,173,47,2,1,"Good",0,0,0,0
"144-11","LETE","NPPD Lexington","outside",2011-07-07,2011-08-12,188,36,2,0,"Good",0,0,0,0
"202PP-10","PIPL","Blue Hole","outside",2010-05-11,2010-07-15,131,65,4,0.75,"Good",0,0,0,0
"203PP-10","PIPL","Blue Hole","outside",2010-05-14,2010-07-03,134,50,4,1,"Good",0,0,0,0
"204PP-10","PIPL","Blue Hole","outside",2010-05-11,2010-06-25,131,45,4,1,"Good",0,0,0,0
"205PP-10","PIPL","Blue Hole","outside",2010-05-17,2010-07-21,137,65,5,0.6,"Good",0,0,0,0
"206PP-10","PIPL","Blue Hole","outside",2010-05-25,2010-07-19,145,55,4,0.5,"Good",0,0,0,0
"207PP-10","PIPL","Blue Hole","outside",2010-05-26,2010-07-09,146,44,2,0,"Good",0,0,0,0
"208LT-10","LETE","Blue Hole","outside",2010-05-31,2010-07-09,151,39,1,0,"Good",0,0,0,0
"209LT-10","LETE","Blue Hole","outside",2010-05-31,2010-06-23,151,23,1,0,"Good",0,0,0,0
"210LT-10","LETE","Blue Hole","outside",2010-05-31,2010-07-06,151,36,3,0,"Good",0,0,0,0
"211LT-10","LETE","Blue Hole","outside",2010-05-31,2010-07-12,151,42,3,0,"Good",0,0,0,0
"212LT-10","LETE","Blue Hole","outside",2010-05-31,2010-07-06,151,36,3,0,"Good",0,0,0,0
"213LT-10","LETE","Blue Hole","outside",2010-05-31,2010-07-06,151,36,3,0,"Good",0,0,0,0
"214LT-10","LETE","Blue Hole","outside",2010-06-04,2010-07-06,155,32,3,0,"Good",0,0,0,0
"216LT-10","LETE","Blue Hole","outside",2010-06-03,2010-06-25,154,22,3,0,"Good",0,0,0,0
"218LT-10","LETE","Blue Hole","outside",2010-06-03,2010-07-19,154,46,2,1,"Good",0,0,0,0
"219LT-10","LETE","Blue Hole","outside",2010-06-14,2010-07-09,165,25,2,0,"Good",0,0,0,0
"220LT-10","LETE","Blue Hole","outside",2010-06-09,2010-07-09,160,30,3,0,"Good",0,0,0,0
"221LT-10","LETE","Blue Hole","outside",2010-06-21,2010-07-12,172,21,2,0,"Good",0,0,0,0
"222LT-10","LETE","Blue Hole","outside",2010-06-28,2010-07-19,179,21,0,0,"Good",0,0,0,0
"230-11","PIPL","Blue Hole","outside",2011-05-04,2011-07-05,124,62,4,0.75,"Good",0,0,0,0
"231-11","PIPL","Blue Hole","outside",2011-05-03,2011-07-06,123,64,3,0.666666666666667,"Good",0,0,0,0
"232-11","PIPL","Blue Hole","outside",2011-05-10,2011-07-05,130,56,4,0.75,"Good",0,0,0,0
"234-11","PIPL","Blue Hole","outside",2011-05-10,2011-07-05,130,56,4,0.75,"Good",0,0,0,0
"235-11","PIPL","Blue Hole","outside",2011-05-10,2011-07-11,130,62,3,0.333333333333333,"Good",0,0,0,0
"236-11","PIPL","Blue Hole","outside",2011-05-12,2011-07-14,132,63,4,0.5,"Good",0,0,0,0
"237-11","PIPL","Blue Hole","outside",2011-05-13,2011-07-14,133,62,3,0.666666666666667,"Good",0,0,0,0
"238-11","PIPL","Blue Hole","outside",2011-05-20,2011-07-20,140,61,4,1,"Good",0,0,0,0
"239-11","LETE","Blue Hole","outside",2011-06-01,2011-07-06,152,35,3,0,"Good",0,0,0,0
"240-11","PIPL","Blue Hole","outside",2011-06-01,2011-07-25,152,54,4,1,"Good",0,0,0,0
"241-11","LETE","Blue Hole","outside",2011-06-01,2011-07-14,152,43,3,0.666666666666667,"Good",0,0,0,0
"242-11","LETE","Blue Hole","outside",2011-06-01,2011-07-21,152,50,2,1,"Good",0,0,0,0
"243-11","LETE","Blue Hole","outside",2011-05-31,2011-07-14,151,44,3,0.666666666666667,"Good",0,0,0,0
"244-11","LETE","Blue Hole","outside",2011-05-31,2011-06-22,151,22,0,0,"Good",0,0,0,0
